stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
2375,1,1,,,,Clockwise via West Remote
2374,2,0,,,,Clockwise via West Remote
1385,3,0,,,,Clockwise via West Remote
101,4,0,,,,Clockwise via West Remote
102,5,0,,,,Clockwise via West Remote
2670,6,1,,,,Clockwise 
2671,7,0,,,,Clockwise 
2672,8,0,,,,Clockwise 
2673,9,0,,,,Clockwise 
2674,10,1,,,,Clockwise to Main Entrance
2675,11,0,,,,Clockwise to Main Entrance
2676,12,1,,,,Clockwise to Main Entrance
2677,13,0,,,,Clockwise to Main Entrance
2678,14,0,,,,Clockwise to Main Entrance
2679,15,0,,,,Clockwise to Main Entrance
122,16,1,,,1,Clockwise to Main Entrance
